,diseases,symptons
749,Hypothyroidism," enlarged thyroid,  abnormal menstruation,  swollen extremeties,  mood swings,  weight gain,  irritability,  brittle nails"
750,Hypothyroidism," enlarged thyroid,  abnormal menstruation,  swollen extremeties,  mood swings,  weight gain,  irritability,  brittle nails"
751,Hypothyroidism," mood swings,  lethargy,  brittle nails,  puffy face and eyes,  irritability"
752,Hypothyroidism," mood swings,  lethargy,  brittle nails,  puffy face and eyes,  irritability"
753,Hypothyroidism," mood swings,  lethargy,  brittle nails,  puffy face and eyes,  irritability"
754,Hypothyroidism," mood swings,  lethargy,  brittle nails,  puffy face and eyes,  irritability"
755,Hypothyroidism," weight gain,  brittle nails,  lethargy,  irritability,  cold hands and feets,  abnormal menstruation"
756,Hypothyroidism," weight gain,  brittle nails,  lethargy,  irritability,  cold hands and feets,  abnormal menstruation"
757,Hypothyroidism," weight gain,  brittle nails,  lethargy,  irritability,  cold hands and feets,  abnormal menstruation"
758,Hypothyroidism," weight gain,  brittle nails,  lethargy,  irritability,  cold hands and feets,  abnormal menstruation"
759,Hypothyroidism," weight gain,  depression,  brittle nails,  irritability,  lethargy,  puffy face and eyes,  cold hands and feets"
760,Hypothyroidism," weight gain,  depression,  brittle nails,  irritability,  lethargy,  puffy face and eyes,  cold hands and feets"
761,Hypothyroidism," weight gain,  depression,  brittle nails,  irritability,  lethargy,  puffy face and eyes,  cold hands and feets"
762,Hypothyroidism," weight gain,  depression,  brittle nails,  irritability,  lethargy,  puffy face and eyes,  cold hands and feets"
763,Hypothyroidism," fatigue,  lethargy,  cold hands and feets,  abnormal menstruation,  mood swings,  irritability"
764,Hypothyroidism," fatigue,  lethargy,  cold hands and feets,  abnormal menstruation,  mood swings,  irritability"
765,Hypothyroidism," fatigue,  lethargy,  cold hands and feets,  abnormal menstruation,  mood swings,  irritability"
766,Hypothyroidism," fatigue,  lethargy,  cold hands and feets,  abnormal menstruation,  mood swings,  irritability"
767,Hypothyroidism," weight gain,  dizziness,  puffy face and eyes,  irritability,  depression"
768,Hypothyroidism," weight gain,  dizziness,  puffy face and eyes,  irritability,  depression"
769,Hypothyroidism," weight gain,  dizziness,  puffy face and eyes,  irritability,  depression"
770,Hypothyroidism," weight gain,  dizziness,  puffy face and eyes,  irritability,  depression"
771,Hypothyroidism," fatigue,  depression,  lethargy,  irritability,  abnormal menstruation,  enlarged thyroid,  puffy face and eyes"
772,Hypothyroidism," fatigue,  depression,  lethargy,  irritability,  abnormal menstruation,  enlarged thyroid,  puffy face and eyes"
773,Hypothyroidism," fatigue,  depression,  lethargy,  irritability,  abnormal menstruation,  enlarged thyroid,  puffy face and eyes"
774,Hypothyroidism," fatigue,  depression,  lethargy,  irritability,  abnormal menstruation,  enlarged thyroid,  puffy face and eyes"
775,Hypothyroidism," abnormal menstruation,  cold hands and feets,  weight gain,  mood swings,  depression"
776,Hypothyroidism," abnormal menstruation,  cold hands and feets,  weight gain,  mood swings,  depression"
777,Hypothyroidism," abnormal menstruation,  cold hands and feets,  weight gain,  mood swings,  depression"
778,Hypothyroidism," abnormal menstruation,  cold hands and feets,  weight gain,  mood swings,  depression"
779,Hypothyroidism," abnormal menstruation,  mood swings,  enlarged thyroid,  brittle nails,  irritability,  weight gain,  depression"
780,Hypothyroidism," abnormal menstruation,  mood swings,  enlarged thyroid,  brittle nails,  irritability,  weight gain,  depression"
781,Hypothyroidism," abnormal menstruation,  mood swings,  enlarged thyroid,  brittle nails,  irritability,  weight gain,  depression"
782,Hypothyroidism," abnormal menstruation,  mood swings,  enlarged thyroid,  brittle nails,  irritability,  weight gain,  depression"
783,Hypothyroidism," cold hands and feets,  abnormal menstruation,  irritability,  weight gain,  lethargy,  brittle nails,  swollen extremeties"
784,Hypothyroidism," cold hands and feets,  abnormal menstruation,  irritability,  weight gain,  lethargy,  brittle nails,  swollen extremeties"
785,Hypothyroidism," cold hands and feets,  abnormal menstruation,  irritability,  weight gain,  lethargy,  brittle nails,  swollen extremeties"
786,Hypothyroidism," cold hands and feets,  abnormal menstruation,  irritability,  weight gain,  lethargy,  brittle nails,  swollen extremeties"
787,Hyperthyroidism," excessive hunger,  muscle weakness,  restlessness,  fatigue,  mood swings"
788,Hyperthyroidism," excessive hunger,  muscle weakness,  restlessness,  fatigue,  mood swings"
789,Hyperthyroidism," excessive hunger,  muscle weakness,  restlessness,  fatigue,  mood swings"
790,Hyperthyroidism," excessive hunger,  muscle weakness,  restlessness,  fatigue,  mood swings"
791,Hyperthyroidism," irritability,  diarrhoea,  fast heart rate,  abnormal menstruation"
792,Hyperthyroidism," irritability,  diarrhoea,  fast heart rate,  abnormal menstruation"
793,Hyperthyroidism," irritability,  diarrhoea,  fast heart rate,  abnormal menstruation"
794,Hyperthyroidism," irritability,  diarrhoea,  fast heart rate,  abnormal menstruation"
795,Hyperthyroidism," restlessness,  fast heart rate,  abnormal menstruation,  weight loss,  mood swings,  excessive hunger"
796,Hyperthyroidism," restlessness,  fast heart rate,  abnormal menstruation,  weight loss,  mood swings,  excessive hunger"
797,Hyperthyroidism," restlessness,  fast heart rate,  abnormal menstruation,  weight loss,  mood swings,  excessive hunger"
798,Hyperthyroidism," restlessness,  fast heart rate,  abnormal menstruation,  weight loss,  mood swings,  excessive hunger"
799,Hyperthyroidism," excessive hunger,  sweating,  weight loss,  restlessness,  irritability,  diarrhoea"
800,Hyperthyroidism," excessive hunger,  sweating,  weight loss,  restlessness,  irritability,  diarrhoea"
801,Hyperthyroidism," excessive hunger,  sweating,  weight loss,  restlessness,  irritability,  diarrhoea"
802,Hyperthyroidism," excessive hunger,  sweating,  weight loss,  restlessness,  irritability,  diarrhoea"
803,Hyperthyroidism," fast heart rate,  excessive hunger,  sweating,  restlessness,  irritability"
804,Hyperthyroidism," fast heart rate,  excessive hunger,  sweating,  restlessness,  irritability"
805,Hyperthyroidism," fast heart rate,  excessive hunger,  sweating,  restlessness,  irritability"
806,Hyperthyroidism," fast heart rate,  excessive hunger,  sweating,  restlessness,  irritability"
807,Hyperthyroidism," excessive hunger,  weight loss,  mood swings,  sweating,  irritability,  diarrhoea,  muscle weakness"
808,Hyperthyroidism," excessive hunger,  weight loss,  mood swings,  sweating,  irritability,  diarrhoea,  muscle weakness"
809,Hyperthyroidism," excessive hunger,  weight loss,  mood swings,  sweating,  irritability,  diarrhoea,  muscle weakness"
810,Hyperthyroidism," excessive hunger,  weight loss,  mood swings,  sweating,  irritability,  diarrhoea,  muscle weakness"
811,Hyperthyroidism," weight loss,  irritability,  fast heart rate,  abnormal menstruation,  muscle weakness,  excessive hunger"
812,Hyperthyroidism," weight loss,  irritability,  fast heart rate,  abnormal menstruation,  muscle weakness,  excessive hunger"
813,Hyperthyroidism," weight loss,  irritability,  fast heart rate,  abnormal menstruation,  muscle weakness,  excessive hunger"
814,Hyperthyroidism," weight loss,  irritability,  fast heart rate,  abnormal menstruation,  muscle weakness,  excessive hunger"
815,Hyperthyroidism," weight loss,  restlessness,  sweating,  abnormal menstruation"
816,Hyperthyroidism," weight loss,  restlessness,  sweating,  abnormal menstruation"
817,Hyperthyroidism," weight loss,  restlessness,  sweating,  abnormal menstruation"
818,Hyperthyroidism," weight loss,  restlessness,  sweating,  abnormal menstruation"
819,Hyperthyroidism," mood swings,  diarrhoea,  abnormal menstruation,  sweating,  excessive hunger,  restlessness"
820,Hyperthyroidism," mood swings,  diarrhoea,  abnormal menstruation,  sweating,  excessive hunger,  restlessness"
821,Hyperthyroidism," mood swings,  diarrhoea,  abnormal menstruation,  sweating,  excessive hunger,  restlessness"
822,Hyperthyroidism," mood swings,  diarrhoea,  abnormal menstruation,  sweating,  excessive hunger,  restlessness"
823,Hyperthyroidism," restlessness,  sweating,  muscle weakness,  fatigue,  irritability"
824,Hyperthyroidism," restlessness,  sweating,  muscle weakness,  fatigue,  irritability"
825,Hyperthyroidism," restlessness,  sweating,  muscle weakness,  fatigue,  irritability"
826,Hyperthyroidism," restlessness,  sweating,  muscle weakness,  fatigue,  irritability"
827,Hypoglycemia," irritability,  headache,  palpitations,  fatigue,  sweating"
828,Hypoglycemia," irritability,  headache,  palpitations,  fatigue,  sweating"
829,Hypoglycemia," irritability,  headache,  palpitations,  fatigue,  sweating"
830,Hypoglycemia," irritability,  headache,  palpitations,  fatigue,  sweating"
831,Hypoglycemia," fatigue,  vomiting,  palpitations,  anxiety,  blurred and distorted vision,  excessive hunger"
832,Hypoglycemia," fatigue,  vomiting,  palpitations,  anxiety,  blurred and distorted vision,  excessive hunger"
833,Hypoglycemia," fatigue,  vomiting,  palpitations,  anxiety,  blurred and distorted vision,  excessive hunger"
834,Hypoglycemia," fatigue,  vomiting,  palpitations,  anxiety,  blurred and distorted vision,  excessive hunger"
835,Hypoglycemia," blurred and distorted vision,  excessive hunger,  drying and tingling lips,  vomiting,  sweating"
836,Hypoglycemia," blurred and distorted vision,  excessive hunger,  drying and tingling lips,  vomiting,  sweating"
837,Hypoglycemia," blurred and distorted vision,  excessive hunger,  drying and tingling lips,  vomiting,  sweating"
838,Hypoglycemia," blurred and distorted vision,  excessive hunger,  drying and tingling lips,  vomiting,  sweating"
839,Hypoglycemia," nausea,  excessive hunger,  headache,  drying and tingling lips,  slurred speech"
840,Hypoglycemia," nausea,  excessive hunger,  headache,  drying and tingling lips,  slurred speech"
841,Hypoglycemia," nausea,  excessive hunger,  headache,  drying and tingling lips,  slurred speech"
842,Hypoglycemia," nausea,  excessive hunger,  headache,  drying and tingling lips,  slurred speech"
843,Hypoglycemia," sweating,  excessive hunger,  irritability,  drying and tingling lips,  anxiety,  nausea"
844,Hypoglycemia," sweating,  excessive hunger,  irritability,  drying and tingling lips,  anxiety,  nausea"
845,Hypoglycemia," sweating,  excessive hunger,  irritability,  drying and tingling lips,  anxiety,  nausea"
846,Hypoglycemia," sweating,  excessive hunger,  irritability,  drying and tingling lips,  anxiety,  nausea"
847,Hypoglycemia," slurred speech,  vomiting,  headache,  nausea,  fatigue"
848,Hypoglycemia," slurred speech,  vomiting,  headache,  nausea,  fatigue"
849,Hypoglycemia," slurred speech,  vomiting,  headache,  nausea,  fatigue"
850,Hypoglycemia," slurred speech,  vomiting,  headache,  nausea,  fatigue"
851,Hypoglycemia," blurred and distorted vision,  excessive hunger,  anxiety,  nausea"
852,Hypoglycemia," blurred and distorted vision,  excessive hunger,  anxiety,  nausea"
853,Hypoglycemia," blurred and distorted vision,  excessive hunger,  anxiety,  nausea"
854,Hypoglycemia," blurred and distorted vision,  excessive hunger,  anxiety,  nausea"
855,Hypoglycemia," anxiety,  excessive hunger,  irritability,  palpitations,  sweating,  blurred and distorted vision"
856,Hypoglycemia," anxiety,  excessive hunger,  irritability,  palpitations,  sweating,  blurred and distorted vision"
857,Hypoglycemia," anxiety,  excessive hunger,  irritability,  palpitations,  sweating,  blurred and distorted vision"
858,Hypoglycemia," anxiety,  excessive hunger,  irritability,  palpitations,  sweating,  blurred and distorted vision"
859,Hypoglycemia," blurred and distorted vision,  drying and tingling lips,  anxiety,  slurred speech,  vomiting,  sweating"
860,Hypoglycemia," blurred and distorted vision,  drying and tingling lips,  anxiety,  slurred speech,  vomiting,  sweating"
861,Hypoglycemia," blurred and distorted vision,  drying and tingling lips,  anxiety,  slurred speech,  vomiting,  sweating"
862,Hypoglycemia," blurred and distorted vision,  drying and tingling lips,  anxiety,  slurred speech,  vomiting,  sweating"
863,Hypoglycemia," nausea,  headache,  excessive hunger,  vomiting,  slurred speech,  palpitations"
864,Hypoglycemia," nausea,  headache,  excessive hunger,  vomiting,  slurred speech,  palpitations"
865,Hypoglycemia," nausea,  headache,  excessive hunger,  vomiting,  slurred speech,  palpitations"
866,Hypoglycemia," nausea,  headache,  excessive hunger,  vomiting,  slurred speech,  palpitations"
867,Osteoarthristis," swelling joints,  hip joint pain,  knee pain,  painful walking,  joint pain,  neck pain"
868,Osteoarthristis," swelling joints,  hip joint pain,  knee pain,  painful walking,  joint pain,  neck pain"
869,Osteoarthristis," neck pain,  joint pain,  knee pain,  hip joint pain,  painful walking,  swelling joints"
870,Osteoarthristis," neck pain,  joint pain,  knee pain,  hip joint pain,  painful walking,  swelling joints"
871,Osteoarthristis," painful walking,  neck pain,  knee pain,  swelling joints"
872,Osteoarthristis," painful walking,  neck pain,  knee pain,  swelling joints"
873,Osteoarthristis," knee pain,  hip joint pain,  painful walking,  joint pain,  swelling joints"
874,Osteoarthristis," knee pain,  hip joint pain,  painful walking,  joint pain,  swelling joints"
875,Osteoarthristis," painful walking,  neck pain,  hip joint pain,  joint pain,  swelling joints"
876,Osteoarthristis," painful walking,  neck pain,  hip joint pain,  joint pain,  swelling joints"
877,Osteoarthristis," painful walking,  neck pain,  knee pain,  swelling joints,  joint pain"
878,Osteoarthristis," painful walking,  neck pain,  knee pain,  swelling joints,  joint pain"
879,Osteoarthristis," hip joint pain,  painful walking,  joint pain,  neck pain,  knee pain"
880,Osteoarthristis," hip joint pain,  painful walking,  joint pain,  neck pain,  knee pain"
881,Osteoarthristis," joint pain,  neck pain,  hip joint pain,  swelling joints,  knee pain"
882,Osteoarthristis," joint pain,  neck pain,  hip joint pain,  swelling joints,  knee pain"
883,Osteoarthristis," neck pain,  painful walking,  knee pain,  joint pain"
884,Osteoarthristis," neck pain,  painful walking,  knee pain,  joint pain"
885,Osteoarthristis," swelling joints,  neck pain,  hip joint pain,  painful walking,  knee pain,  joint pain"
886,Osteoarthristis," swelling joints,  neck pain,  hip joint pain,  painful walking,  knee pain,  joint pain"
887,Arthritis," stiff neck,  muscle weakness,  painful walking,  movement stiffness,  swelling joints"
888,Arthritis," stiff neck,  muscle weakness,  painful walking,  movement stiffness,  swelling joints"
889,Arthritis," movement stiffness,  painful walking,  stiff neck,  swelling joints"
890,Arthritis," movement stiffness,  painful walking,  stiff neck,  swelling joints"
891,Arthritis," stiff neck,  swelling joints,  movement stiffness,  painful walking"
892,Arthritis," muscle weakness,  movement stiffness,  swelling joints,  painful walking"
893,Arthritis," movement stiffness,  painful walking,  muscle weakness,  stiff neck"
894,Arthritis," stiff neck,  muscle weakness,  swelling joints,  painful walking"
895,Arthritis," movement stiffness,  swelling joints,  stiff neck,  painful walking,  muscle weakness"
896,Arthritis," movement stiffness,  swelling joints,  stiff neck,  painful walking,  muscle weakness"
897,Arthritis," swelling joints,  stiff neck,  movement stiffness,  muscle weakness"
898,Arthritis," swelling joints,  painful walking,  movement stiffness,  muscle weakness"
899,Arthritis," swelling joints,  painful walking,  movement stiffness,  muscle weakness"
900,Arthritis," muscle weakness,  stiff neck,  movement stiffness,  painful walking,  swelling joints"
901,Arthritis," muscle weakness,  stiff neck,  movement stiffness,  painful walking,  swelling joints"
902,(vertigo) Paroymsal  Positional Vertigo," spinning movements,  headache,  unsteadiness,  vomiting,  nausea"
903,(vertigo) Paroymsal  Positional Vertigo," spinning movements,  headache,  unsteadiness,  vomiting,  nausea"
904,(vertigo) Paroymsal  Positional Vertigo," headache,  nausea,  vomiting,  loss of balance"
905,(vertigo) Paroymsal  Positional Vertigo," headache,  nausea,  vomiting,  loss of balance"
906,(vertigo) Paroymsal  Positional Vertigo," loss of balance,  nausea,  headache,  unsteadiness,  spinning movements"
907,(vertigo) Paroymsal  Positional Vertigo," loss of balance,  nausea,  headache,  unsteadiness,  spinning movements"
908,(vertigo) Paroymsal  Positional Vertigo," spinning movements,  nausea,  unsteadiness,  loss of balance,  vomiting"
909,(vertigo) Paroymsal  Positional Vertigo," spinning movements,  nausea,  unsteadiness,  loss of balance,  vomiting"
910,(vertigo) Paroymsal  Positional Vertigo," unsteadiness,  loss of balance,  headache,  spinning movements"
911,(vertigo) Paroymsal  Positional Vertigo," unsteadiness,  loss of balance,  headache,  spinning movements"
912,(vertigo) Paroymsal  Positional Vertigo," nausea,  headache,  loss of balance,  unsteadiness,  vomiting"
913,(vertigo) Paroymsal  Positional Vertigo," nausea,  headache,  loss of balance,  unsteadiness,  vomiting"
914,(vertigo) Paroymsal  Positional Vertigo," vomiting,  unsteadiness,  nausea,  headache"
915,(vertigo) Paroymsal  Positional Vertigo," vomiting,  unsteadiness,  nausea,  headache"
916,(vertigo) Paroymsal  Positional Vertigo," headache,  loss of balance,  nausea,  spinning movements,  vomiting"
917,(vertigo) Paroymsal  Positional Vertigo," headache,  loss of balance,  nausea,  spinning movements,  vomiting"
918,(vertigo) Paroymsal  Positional Vertigo," unsteadiness,  headache,  loss of balance,  vomiting,  nausea"
919,(vertigo) Paroymsal  Positional Vertigo," unsteadiness,  headache,  loss of balance,  vomiting,  nausea"
920,(vertigo) Paroymsal  Positional Vertigo," headache,  unsteadiness,  nausea,  vomiting,  loss of balance"
921,(vertigo) Paroymsal  Positional Vertigo," headache,  unsteadiness,  nausea,  vomiting,  loss of balance"
922,Acne," blackheads,  pus filled pimples,  skin rash,  scurring"
923,Acne," scurring,  blackheads,  pus filled pimples,  skin rash"
924,Acne," blackheads,  pus filled pimples,  scurring"
925,Acne," blackheads,  scurring,  skin rash"
926,Acne," pus filled pimples,  skin rash,  scurring"
927,Acne," blackheads,  skin rash,  pus filled pimples"
928,Acne," skin rash,  pus filled pimples,  scurring,  blackheads"
929,Acne," pus filled pimples,  skin rash,  blackheads"
930,Acne," pus filled pimples,  skin rash,  scurring"
931,Acne," skin rash,  blackheads,  scurring"
932,Urinary tract infection," foul smell of urine,  bladder discomfort,  burning micturition,  continuous feel of urine"
933,Urinary tract infection," continuous feel of urine,  burning micturition,  foul smell of urine,  bladder discomfort"
934,Urinary tract infection," continuous feel of urine,  bladder discomfort,  foul smell of urine"
935,Urinary tract infection," burning micturition,  continuous feel of urine,  foul smell of urine"
936,Urinary tract infection," continuous feel of urine,  bladder discomfort,  burning micturition"
937,Urinary tract infection," burning micturition,  bladder discomfort,  foul smell of urine"
938,Urinary tract infection," foul smell of urine,  burning micturition,  continuous feel of urine,  bladder discomfort"
939,Urinary tract infection," continuous feel of urine,  bladder discomfort,  burning micturition"
940,Urinary tract infection," bladder discomfort,  foul smell of urine,  continuous feel of urine"
941,Urinary tract infection," bladder discomfort,  burning micturition,  continuous feel of urine"
942,Psoriasis," skin peeling,  silver like dusting,  skin rash,  joint pain,  small dents in nails,  inflammatory nails"
943,Psoriasis," skin peeling,  silver like dusting,  skin rash,  joint pain,  small dents in nails,  inflammatory nails"
944,Psoriasis," silver like dusting,  joint pain,  skin rash,  small dents in nails,  skin peeling,  inflammatory nails"
945,Psoriasis," silver like dusting,  joint pain,  skin rash,  small dents in nails,  skin peeling,  inflammatory nails"
946,Psoriasis," skin peeling,  inflammatory nails,  silver like dusting,  joint pain"
947,Psoriasis," skin peeling,  inflammatory nails,  silver like dusting,  joint pain"
948,Psoriasis," inflammatory nails,  small dents in nails,  skin rash,  silver like dusting,  skin peeling"
949,Psoriasis," inflammatory nails,  small dents in nails,  skin rash,  silver like dusting,  skin peeling"
950,Psoriasis," silver like dusting,  inflammatory nails,  joint pain,  skin rash,  small dents in nails"
951,Psoriasis," silver like dusting,  inflammatory nails,  joint pain,  skin rash,  small dents in nails"
952,Psoriasis," joint pain,  skin rash,  inflammatory nails,  skin peeling"
953,Psoriasis," joint pain,  skin rash,  inflammatory nails,  skin peeling"
954,Psoriasis," inflammatory nails,  silver like dusting,  skin peeling,  joint pain,  skin rash"
955,Psoriasis," inflammatory nails,  silver like dusting,  skin peeling,  joint pain,  skin rash"
956,Psoriasis," silver like dusting,  joint pain,  small dents in nails,  skin rash,  skin peeling"
957,Psoriasis," silver like dusting,  joint pain,  small dents in nails,  skin rash,  skin peeling"
958,Psoriasis," silver like dusting,  small dents in nails,  inflammatory nails,  joint pain,  skin peeling"
959,Psoriasis," silver like dusting,  small dents in nails,  inflammatory nails,  joint pain,  skin peeling"
960,Psoriasis," skin peeling,  inflammatory nails,  silver like dusting,  skin rash,  small dents in nails"
961,Psoriasis," skin peeling,  inflammatory nails,  silver like dusting,  skin rash,  small dents in nails"
962,Impetigo," skin rash,  high fever,  yellow crust ooze,  blister"
963,Impetigo," skin rash,  high fever,  yellow crust ooze,  blister"
964,Impetigo," high fever,  yellow crust ooze,  red sore around nose,  blister,  skin rash"
965,Impetigo," high fever,  yellow crust ooze,  red sore around nose,  blister,  skin rash"
966,Impetigo," yellow crust ooze,  high fever,  blister,  red sore around nose"
967,Impetigo," red sore around nose,  skin rash,  yellow crust ooze,  blister"
968,Impetigo," red sore around nose,  yellow crust ooze,  blister,  skin rash"
969,Impetigo," high fever,  skin rash,  yellow crust ooze,  red sore around nose"
970,Impetigo," yellow crust ooze,  blister,  skin rash,  high fever"
971,Impetigo," high fever,  red sore around nose,  blister,  skin rash"
972,Impetigo," blister,  high fever,  red sore around nose,  skin rash,  yellow crust ooze"
973,Impetigo," blister,  high fever,  red sore around nose,  skin rash,  yellow crust ooze"
974,Impetigo," skin rash,  blister,  yellow crust ooze,  red sore around nose"
975,Fungal infection,"itching,  nodal skin eruptions,  skin rash,  dischromic  patches"
976,Fungal infection," nodal skin eruptions,  skin rash,  dischromic  patches"
977,Fungal infection," nodal skin eruptions,  dischromic  patches, itching"
978,Fungal infection,"itching,  skin rash,  dischromic  patches"
979,Fungal infection," nodal skin eruptions, itching,  skin rash"
980,Fungal infection," nodal skin eruptions,  dischromic  patches,  skin rash"
981,Fungal infection," dischromic  patches, itching,  nodal skin eruptions"
982,Fungal infection," dischromic  patches,  skin rash, itching"
983,Fungal infection,"itching,  skin rash,  nodal skin eruptions"
984,Fungal infection," nodal skin eruptions, itching,  dischromic  patches,  skin rash"
985,Allergy," chills,  shivering,  continuous sneezing,  watering from eyes"
986,Allergy," watering from eyes,  shivering,  chills"
987,Allergy," continuous sneezing,  watering from eyes,  chills"
988,Allergy," watering from eyes,  shivering,  continuous sneezing"
989,Allergy," chills,  shivering,  continuous sneezing"
990,Allergy," watering from eyes,  chills,  shivering"
991,Allergy," chills,  continuous sneezing,  watering from eyes"
992,Allergy," shivering,  continuous sneezing,  watering from eyes"
993,Allergy," chills,  continuous sneezing,  shivering"
994,Allergy," chills,  watering from eyes,  continuous sneezing,  shivering"
995,GERD," chest pain,  vomiting,  ulcers on tongue,  acidity"
996,GERD," chest pain,  vomiting,  ulcers on tongue,  acidity"
997,GERD," cough,  stomach pain,  ulcers on tongue,  vomiting,  chest pain"
998,GERD," cough,  stomach pain,  ulcers on tongue,  vomiting,  chest pain"
999,GERD," vomiting,  stomach pain,  acidity,  cough,  chest pain"
1000,GERD," vomiting,  stomach pain,  acidity,  cough,  chest pain"
1001,GERD," ulcers on tongue,  cough,  stomach pain,  acidity,  chest pain"
1002,GERD," ulcers on tongue,  cough,  stomach pain,  acidity,  chest pain"
1003,GERD," ulcers on tongue,  acidity,  stomach pain,  chest pain,  vomiting"
1004,GERD," ulcers on tongue,  acidity,  stomach pain,  chest pain,  vomiting"
1005,GERD," stomach pain,  vomiting,  acidity,  cough,  ulcers on tongue"
1006,GERD," stomach pain,  vomiting,  acidity,  cough,  ulcers on tongue"
1007,GERD," ulcers on tongue,  acidity,  chest pain,  vomiting,  cough"
1008,GERD," ulcers on tongue,  acidity,  chest pain,  vomiting,  cough"
1009,GERD," chest pain,  vomiting,  stomach pain,  ulcers on tongue,  cough"
1010,GERD," chest pain,  vomiting,  stomach pain,  ulcers on tongue,  cough"
1011,GERD," cough,  stomach pain,  vomiting,  acidity"
1012,GERD," cough,  stomach pain,  vomiting,  acidity"
1013,GERD," cough,  stomach pain,  acidity,  ulcers on tongue,  chest pain"
1014,GERD," cough,  stomach pain,  acidity,  ulcers on tongue,  chest pain"
1015,Chronic cholestasis," yellowish skin,  abdominal pain,  nausea,  vomiting"
1016,Chronic cholestasis," yellowish skin,  abdominal pain,  nausea,  vomiting"
1017,Chronic cholestasis," vomiting,  nausea,  yellowing of eyes,  abdominal pain,  loss of appetite,  yellowish skin"
1018,Chronic cholestasis," vomiting,  nausea,  yellowing of eyes,  abdominal pain,  loss of appetite,  yellowish skin"
1019,Chronic cholestasis," loss of appetite,  nausea,  yellowing of eyes, itching,  abdominal pain"
1020,Chronic cholestasis," loss of appetite,  nausea,  yellowing of eyes, itching,  abdominal pain"
1021,Chronic cholestasis," abdominal pain,  yellowing of eyes,  vomiting,  nausea, itching,  loss of appetite"
1022,Chronic cholestasis," abdominal pain,  yellowing of eyes,  vomiting,  nausea, itching,  loss of appetite"
1023,Chronic cholestasis," abdominal pain,  yellowish skin,  loss of appetite, itching,  yellowing of eyes"
1024,Chronic cholestasis," abdominal pain,  yellowish skin,  loss of appetite, itching,  yellowing of eyes"
1025,Chronic cholestasis," yellowing of eyes, itching,  nausea,  abdominal pain,  vomiting,  yellowish skin"
1026,Chronic cholestasis," yellowing of eyes, itching,  nausea,  abdominal pain,  vomiting,  yellowish skin"
1027,Chronic cholestasis," yellowish skin, itching,  loss of appetite,  yellowing of eyes,  nausea,  vomiting"
1028,Chronic cholestasis," yellowish skin, itching,  loss of appetite,  yellowing of eyes,  nausea,  vomiting"
1029,Chronic cholestasis,"itching,  nausea,  loss of appetite,  yellowish skin,  abdominal pain,  vomiting"
1030,Chronic cholestasis,"itching,  nausea,  loss of appetite,  yellowish skin,  abdominal pain,  vomiting"
1031,Chronic cholestasis," loss of appetite,  abdominal pain,  yellowing of eyes,  yellowish skin,  nausea"
1032,Chronic cholestasis," loss of appetite,  abdominal pain,  yellowing of eyes,  yellowish skin,  nausea"
1033,Chronic cholestasis," yellowing of eyes,  nausea,  loss of appetite,  yellowish skin"
1034,Chronic cholestasis," yellowing of eyes,  nausea,  loss of appetite,  yellowish skin"
1035,Drug Reaction," stomach pain,  skin rash, itching,  spotting  urination,  burning micturition"
1036,Drug Reaction," stomach pain,  skin rash, itching,  spotting  urination,  burning micturition"
1037,Drug Reaction,"itching,  stomach pain,  spotting  urination,  burning micturition"
1038,Drug Reaction," spotting  urination, itching,  skin rash,  burning micturition"
1039,Drug Reaction," skin rash,  stomach pain,  spotting  urination, itching"
1040,Drug Reaction," burning micturition, itching,  skin rash,  stomach pain"
1041,Drug Reaction," burning micturition,  stomach pain,  spotting  urination,  skin rash"
1042,Drug Reaction," burning micturition,  stomach pain, itching,  spotting  urination"
1043,Drug Reaction," burning micturition,  skin rash, itching,  spotting  urination"
1044,Drug Reaction,"itching,  spotting  urination,  stomach pain,  skin rash"
1045,Drug Reaction," burning micturition, itching,  stomach pain,  skin rash"
1046,Peptic ulcer diseae," passage of gases,  internal itching,  abdominal pain,  loss of appetite,  vomiting"
1047,Peptic ulcer diseae," passage of gases,  internal itching,  abdominal pain,  loss of appetite,  vomiting"
1048,Peptic ulcer diseae," internal itching,  abdominal pain,  vomiting,  passage of gases"
1049,Peptic ulcer diseae," internal itching,  abdominal pain,  vomiting,  passage of gases"
1050,Peptic ulcer diseae," loss of appetite,  internal itching,  abdominal pain,  indigestion,  passage of gases"
1051,Peptic ulcer diseae," loss of appetite,  internal itching,  abdominal pain,  indigestion,  passage of gases"
1052,Peptic ulcer diseae," internal itching,  vomiting,  passage of gases,  loss of appetite"
1053,Peptic ulcer diseae," internal itching,  vomiting,  passage of gases,  loss of appetite"
1054,Peptic ulcer diseae," indigestion,  abdominal pain,  internal itching,  vomiting,  passage of gases"
1055,Peptic ulcer diseae," indigestion,  abdominal pain,  internal itching,  vomiting,  passage of gases"
1056,Peptic ulcer diseae," passage of gases,  loss of appetite,  internal itching,  vomiting,  indigestion"
1057,Peptic ulcer diseae," passage of gases,  loss of appetite,  internal itching,  vomiting,  indigestion"
1058,Peptic ulcer diseae," internal itching,  vomiting,  indigestion,  loss of appetite"
1059,Peptic ulcer diseae," internal itching,  vomiting,  indigestion,  loss of appetite"
1060,Peptic ulcer diseae," passage of gases,  indigestion,  loss of appetite,  vomiting,  abdominal pain"
1061,Peptic ulcer diseae," passage of gases,  indigestion,  loss of appetite,  vomiting,  abdominal pain"
