diseases,symptons
Hepatitis B," yellowing of eyes,  dark urine,  lethargy,  malaise,  receiving blood transfusion,  fatigue"
Hepatitis B," yellowing of eyes,  dark urine,  lethargy,  malaise,  receiving blood transfusion,  fatigue"
Hepatitis B," yellowing of eyes,  dark urine,  lethargy,  malaise,  receiving blood transfusion,  fatigue"
Hepatitis B," yellowing of eyes,  dark urine,  lethargy,  malaise,  receiving blood transfusion,  fatigue"
Hepatitis B," yellow urine,  receiving unsterile injections,  fatigue,  receiving blood transfusion,  malaise"
Hepatitis B," yellow urine,  receiving unsterile injections,  fatigue,  receiving blood transfusion,  malaise"
Hepatitis B," yellow urine,  receiving unsterile injections,  fatigue,  receiving blood transfusion,  malaise"
Hepatitis B," yellow urine,  receiving unsterile injections,  fatigue,  receiving blood transfusion,  malaise"
Hepatitis B," abdominal pain,  malaise,  receiving blood transfusion,  receiving unsterile injections,  lethargy,  fatigue"
Hepatitis B," abdominal pain,  malaise,  receiving blood transfusion,  receiving unsterile injections,  lethargy,  fatigue"
Hepatitis B," abdominal pain,  malaise,  receiving blood transfusion,  receiving unsterile injections,  lethargy,  fatigue"
Hepatitis B," abdominal pain,  malaise,  receiving blood transfusion,  receiving unsterile injections,  lethargy,  fatigue"
Hepatitis B," receiving unsterile injections,  yellowing of eyes,  yellow urine,  loss of appetite,  yellowish skin, itching"
Hepatitis B," receiving unsterile injections,  yellowing of eyes,  yellow urine,  loss of appetite,  yellowish skin, itching"
Hepatitis B," receiving unsterile injections,  yellowing of eyes,  yellow urine,  loss of appetite,  yellowish skin, itching"
Hepatitis B," receiving unsterile injections,  yellowing of eyes,  yellow urine,  loss of appetite,  yellowish skin, itching"
Hepatitis B," yellowing of eyes,  dark urine,  fatigue,  receiving blood transfusion,  receiving unsterile injections,  abdominal pain"
Hepatitis B," yellowing of eyes,  dark urine,  fatigue,  receiving blood transfusion,  receiving unsterile injections,  abdominal pain"
Hepatitis B," yellowing of eyes,  dark urine,  fatigue,  receiving blood transfusion,  receiving unsterile injections,  abdominal pain"
Hepatitis B," yellowing of eyes,  dark urine,  fatigue,  receiving blood transfusion,  receiving unsterile injections,  abdominal pain"
Hepatitis B," loss of appetite,  yellow urine,  malaise,  fatigue,  receiving unsterile injections,  abdominal pain"
Hepatitis B," loss of appetite,  yellow urine,  malaise,  fatigue,  receiving unsterile injections,  abdominal pain"
Hepatitis B," loss of appetite,  yellow urine,  malaise,  fatigue,  receiving unsterile injections,  abdominal pain"
Hepatitis B," loss of appetite,  yellow urine,  malaise,  fatigue,  receiving unsterile injections,  abdominal pain"
Hepatitis B," yellowish skin,  receiving unsterile injections,  yellow urine,  yellowing of eyes,  fatigue,  lethargy,  malaise"
Hepatitis B," yellowish skin,  receiving unsterile injections,  yellow urine,  yellowing of eyes,  fatigue,  lethargy,  malaise"
Hepatitis B," yellowish skin,  receiving unsterile injections,  yellow urine,  yellowing of eyes,  fatigue,  lethargy,  malaise"
Hepatitis B," yellowish skin,  receiving unsterile injections,  yellow urine,  yellowing of eyes,  fatigue,  lethargy,  malaise"
Hepatitis B," dark urine,  yellowish skin,  receiving blood transfusion,  lethargy,  receiving unsterile injections,  yellowing of eyes, itching"
Hepatitis B," dark urine,  yellowish skin,  receiving blood transfusion,  lethargy,  receiving unsterile injections,  yellowing of eyes, itching"
Hepatitis B," dark urine,  yellowish skin,  receiving blood transfusion,  lethargy,  receiving unsterile injections,  yellowing of eyes, itching"
Hepatitis B," dark urine,  yellowish skin,  receiving blood transfusion,  lethargy,  receiving unsterile injections,  yellowing of eyes, itching"
Hepatitis B,"itching,  malaise,  yellow urine,  fatigue,  yellowing of eyes"
Hepatitis B,"itching,  malaise,  yellow urine,  fatigue,  yellowing of eyes"
Hepatitis B,"itching,  malaise,  yellow urine,  fatigue,  yellowing of eyes"
Hepatitis B,"itching,  malaise,  yellow urine,  fatigue,  yellowing of eyes"
Hepatitis B," yellowing of eyes,  receiving unsterile injections,  malaise,  yellowish skin,  lethargy,  receiving blood transfusion"
Hepatitis B," yellowing of eyes,  receiving unsterile injections,  malaise,  yellowish skin,  lethargy,  receiving blood transfusion"
Hepatitis B," yellowing of eyes,  receiving unsterile injections,  malaise,  yellowish skin,  lethargy,  receiving blood transfusion"
Hepatitis B," yellowing of eyes,  receiving unsterile injections,  malaise,  yellowish skin,  lethargy,  receiving blood transfusion"
Hepatitis C," fatigue,  family history,  yellowish skin,  nausea,  loss of appetite"
Hepatitis C," fatigue,  family history,  yellowish skin,  nausea,  loss of appetite"
Hepatitis C," nausea,  yellowish skin,  fatigue,  yellowing of eyes,  loss of appetite"
Hepatitis C," nausea,  yellowish skin,  fatigue,  yellowing of eyes,  loss of appetite"
Hepatitis C," family history,  yellowing of eyes,  loss of appetite,  yellowish skin,  nausea"
Hepatitis C," family history,  yellowing of eyes,  loss of appetite,  yellowish skin,  nausea"
Hepatitis C," yellowing of eyes,  family history,  fatigue,  loss of appetite,  nausea"
Hepatitis C," yellowing of eyes,  family history,  fatigue,  loss of appetite,  nausea"
Hepatitis C," loss of appetite,  yellowish skin,  family history,  yellowing of eyes,  fatigue"
Hepatitis C," loss of appetite,  yellowish skin,  family history,  yellowing of eyes,  fatigue"
Hepatitis C," family history,  fatigue,  yellowing of eyes,  yellowish skin"
Hepatitis C," family history,  fatigue,  yellowing of eyes,  yellowish skin"
Hepatitis C," loss of appetite,  family history,  fatigue,  yellowish skin"
Hepatitis C," loss of appetite,  family history,  fatigue,  yellowish skin"
Hepatitis C," loss of appetite,  nausea,  yellowing of eyes,  fatigue,  yellowish skin"
Hepatitis C," loss of appetite,  nausea,  yellowing of eyes,  fatigue,  yellowish skin"
Hepatitis C," yellowish skin,  nausea,  loss of appetite,  fatigue,  yellowing of eyes,  family history"
Hepatitis C," yellowish skin,  nausea,  loss of appetite,  fatigue,  yellowing of eyes,  family history"
Hepatitis C," fatigue,  loss of appetite,  yellowing of eyes,  family history,  yellowish skin,  nausea"
Hepatitis C," fatigue,  loss of appetite,  yellowing of eyes,  family history,  yellowish skin,  nausea"
Hepatitis D," joint pain,  fatigue,  abdominal pain,  loss of appetite,  yellowing of eyes,  dark urine"
Hepatitis D," joint pain,  fatigue,  abdominal pain,  loss of appetite,  yellowing of eyes,  dark urine"
Hepatitis D," joint pain,  fatigue,  abdominal pain,  loss of appetite,  yellowing of eyes,  dark urine"
Hepatitis D," joint pain,  fatigue,  abdominal pain,  loss of appetite,  yellowing of eyes,  dark urine"
Hepatitis D," yellowish skin,  abdominal pain,  dark urine,  nausea,  vomiting,  loss of appetite"
Hepatitis D," yellowish skin,  abdominal pain,  dark urine,  nausea,  vomiting,  loss of appetite"
Hepatitis D," yellowish skin,  joint pain,  dark urine,  loss of appetite,  abdominal pain,  yellowing of eyes,  fatigue"
Hepatitis D," yellowish skin,  joint pain,  dark urine,  loss of appetite,  abdominal pain,  yellowing of eyes,  fatigue"
Hepatitis D," vomiting,  loss of appetite,  joint pain,  dark urine"
Hepatitis D," vomiting,  loss of appetite,  joint pain,  dark urine"
Hepatitis D," yellowing of eyes,  nausea,  joint pain,  dark urine,  vomiting"
Hepatitis D," yellowing of eyes,  nausea,  joint pain,  dark urine,  vomiting"
Hepatitis D," vomiting,  abdominal pain,  nausea,  joint pain,  yellowish skin,  fatigue"
Hepatitis D," vomiting,  abdominal pain,  nausea,  joint pain,  yellowish skin,  fatigue"
Hepatitis D," fatigue,  loss of appetite,  dark urine,  joint pain,  yellowing of eyes,  yellowish skin"
Hepatitis D," fatigue,  loss of appetite,  dark urine,  joint pain,  yellowing of eyes,  yellowish skin"
Hepatitis D," yellowing of eyes,  yellowish skin,  dark urine,  vomiting,  joint pain,  fatigue"
Hepatitis D," yellowing of eyes,  yellowish skin,  dark urine,  vomiting,  joint pain,  fatigue"
Hepatitis D," nausea,  yellowish skin,  fatigue,  dark urine,  loss of appetite,  joint pain"
Hepatitis D," nausea,  yellowish skin,  fatigue,  dark urine,  loss of appetite,  joint pain"
Hepatitis D," loss of appetite,  fatigue,  joint pain,  vomiting,  nausea,  dark urine"
Hepatitis D," loss of appetite,  fatigue,  joint pain,  vomiting,  nausea,  dark urine"
Hepatitis E," yellowish skin,  coma,  abdominal pain,  stomach bleeding,  vomiting,  dark urine"
Hepatitis E," yellowish skin,  coma,  abdominal pain,  stomach bleeding,  vomiting,  dark urine"
Hepatitis E," yellowish skin,  coma,  abdominal pain,  stomach bleeding,  vomiting,  dark urine"
Hepatitis E," yellowish skin,  coma,  abdominal pain,  stomach bleeding,  vomiting,  dark urine"
Hepatitis E," coma,  high fever,  vomiting,  fatigue,  yellowing of eyes,  acute liver failure,  nausea"
Hepatitis E," coma,  high fever,  vomiting,  fatigue,  yellowing of eyes,  acute liver failure,  nausea"
Hepatitis E," coma,  high fever,  vomiting,  fatigue,  yellowing of eyes,  acute liver failure,  nausea"
Hepatitis E," coma,  high fever,  vomiting,  fatigue,  yellowing of eyes,  acute liver failure,  nausea"
Hepatitis E," stomach bleeding,  high fever,  vomiting,  yellowish skin,  coma,  loss of appetite"
Hepatitis E," stomach bleeding,  high fever,  vomiting,  yellowish skin,  coma,  loss of appetite"
Hepatitis E," stomach bleeding,  high fever,  vomiting,  yellowish skin,  coma,  loss of appetite"
Hepatitis E," stomach bleeding,  high fever,  vomiting,  yellowish skin,  coma,  loss of appetite"
Hepatitis E," dark urine,  vomiting,  fatigue,  yellowish skin"
Hepatitis E," dark urine,  vomiting,  fatigue,  yellowish skin"
Hepatitis E," dark urine,  vomiting,  fatigue,  yellowish skin"
Hepatitis E," dark urine,  vomiting,  fatigue,  yellowish skin"
Hepatitis E," acute liver failure,  yellowing of eyes,  loss of appetite,  stomach bleeding,  nausea,  high fever"
Hepatitis E," acute liver failure,  yellowing of eyes,  loss of appetite,  stomach bleeding,  nausea,  high fever"
Hepatitis E," acute liver failure,  yellowing of eyes,  loss of appetite,  stomach bleeding,  nausea,  high fever"
Hepatitis E," acute liver failure,  yellowing of eyes,  loss of appetite,  stomach bleeding,  nausea,  high fever"
Hepatitis E," yellowing of eyes,  nausea,  abdominal pain,  high fever"
Hepatitis E," yellowing of eyes,  nausea,  abdominal pain,  high fever"
Hepatitis E," yellowing of eyes,  nausea,  abdominal pain,  high fever"
Hepatitis E," yellowing of eyes,  nausea,  abdominal pain,  high fever"
Hepatitis E," acute liver failure,  dark urine,  fatigue,  joint pain,  vomiting"
Hepatitis E," acute liver failure,  dark urine,  fatigue,  joint pain,  vomiting"
Hepatitis E," acute liver failure,  dark urine,  fatigue,  joint pain,  vomiting"
Hepatitis E," acute liver failure,  dark urine,  fatigue,  joint pain,  vomiting"
Hepatitis E," high fever,  fatigue,  vomiting,  abdominal pain,  loss of appetite,  joint pain,  dark urine"
Hepatitis E," high fever,  fatigue,  vomiting,  abdominal pain,  loss of appetite,  joint pain,  dark urine"
Hepatitis E," high fever,  fatigue,  vomiting,  abdominal pain,  loss of appetite,  joint pain,  dark urine"
Hepatitis E," high fever,  fatigue,  vomiting,  abdominal pain,  loss of appetite,  joint pain,  dark urine"
Hepatitis E," yellowing of eyes,  fatigue,  acute liver failure,  nausea,  high fever,  yellowish skin,  coma"
Hepatitis E," yellowing of eyes,  fatigue,  acute liver failure,  nausea,  high fever,  yellowish skin,  coma"
Hepatitis E," yellowing of eyes,  fatigue,  acute liver failure,  nausea,  high fever,  yellowish skin,  coma"
Hepatitis E," yellowing of eyes,  fatigue,  acute liver failure,  nausea,  high fever,  yellowish skin,  coma"
Hepatitis E," joint pain,  abdominal pain,  dark urine,  yellowish skin,  stomach bleeding"
Hepatitis E," joint pain,  abdominal pain,  dark urine,  yellowish skin,  stomach bleeding"
Hepatitis E," joint pain,  abdominal pain,  dark urine,  yellowish skin,  stomach bleeding"
Hepatitis E," joint pain,  abdominal pain,  dark urine,  yellowish skin,  stomach bleeding"
Alcoholic hepatitis," fluid overload,  abdominal pain,  vomiting,  history of alcohol consumption"
Alcoholic hepatitis," fluid overload,  abdominal pain,  vomiting,  history of alcohol consumption"
Alcoholic hepatitis," fluid overload,  vomiting,  yellowish skin,  history of alcohol consumption,  swelling of stomach"
Alcoholic hepatitis," fluid overload,  vomiting,  yellowish skin,  history of alcohol consumption,  swelling of stomach"
Alcoholic hepatitis," abdominal pain,  fluid overload,  distention of abdomen,  history of alcohol consumption"
Alcoholic hepatitis," abdominal pain,  fluid overload,  distention of abdomen,  history of alcohol consumption"
Alcoholic hepatitis," history of alcohol consumption,  vomiting,  abdominal pain,  fluid overload,  distention of abdomen"
Alcoholic hepatitis," history of alcohol consumption,  vomiting,  abdominal pain,  fluid overload,  distention of abdomen"
Alcoholic hepatitis," yellowish skin,  distention of abdomen,  swelling of stomach,  vomiting,  fluid overload,  history of alcohol consumption"
Alcoholic hepatitis," yellowish skin,  distention of abdomen,  swelling of stomach,  vomiting,  fluid overload,  history of alcohol consumption"
Alcoholic hepatitis," abdominal pain,  distention of abdomen,  yellowish skin,  vomiting,  history of alcohol consumption,  fluid overload"
Alcoholic hepatitis," abdominal pain,  distention of abdomen,  yellowish skin,  vomiting,  history of alcohol consumption,  fluid overload"
Alcoholic hepatitis," abdominal pain,  history of alcohol consumption,  yellowish skin,  fluid overload,  swelling of stomach"
Alcoholic hepatitis," abdominal pain,  history of alcohol consumption,  yellowish skin,  fluid overload,  swelling of stomach"
Alcoholic hepatitis," vomiting,  swelling of stomach,  fluid overload,  yellowish skin"
Alcoholic hepatitis," vomiting,  swelling of stomach,  fluid overload,  yellowish skin"
Alcoholic hepatitis," abdominal pain,  distention of abdomen,  vomiting,  swelling of stomach,  yellowish skin,  history of alcohol consumption"
Alcoholic hepatitis," abdominal pain,  distention of abdomen,  vomiting,  swelling of stomach,  yellowish skin,  history of alcohol consumption"
Alcoholic hepatitis," vomiting,  distention of abdomen,  swelling of stomach,  yellowish skin"
Alcoholic hepatitis," vomiting,  distention of abdomen,  swelling of stomach,  yellowish skin"
Tuberculosis," breathlessness,  weight loss,  sweating,  fatigue,  yellowing of eyes"
Tuberculosis," breathlessness,  weight loss,  sweating,  fatigue,  yellowing of eyes"
Tuberculosis," breathlessness,  weight loss,  sweating,  fatigue,  yellowing of eyes"
Tuberculosis," breathlessness,  weight loss,  sweating,  fatigue,  yellowing of eyes"
Tuberculosis," breathlessness,  weight loss,  sweating,  fatigue,  yellowing of eyes"
Tuberculosis," weight loss,  swelled lymph nodes,  vomiting,  chest pain"
Tuberculosis," weight loss,  swelled lymph nodes,  vomiting,  chest pain"
Tuberculosis," weight loss,  swelled lymph nodes,  vomiting,  chest pain"
Tuberculosis," weight loss,  swelled lymph nodes,  vomiting,  chest pain"
Tuberculosis," weight loss,  swelled lymph nodes,  vomiting,  chest pain"
Tuberculosis," swelled lymph nodes,  weight loss,  blood in sputum,  breathlessness"
Tuberculosis," swelled lymph nodes,  weight loss,  blood in sputum,  breathlessness"
Tuberculosis," swelled lymph nodes,  weight loss,  blood in sputum,  breathlessness"
Tuberculosis," swelled lymph nodes,  weight loss,  blood in sputum,  breathlessness"
Tuberculosis," yellowing of eyes,  chills,  mild fever,  loss of appetite,  malaise,  phlegm,  blood in sputum"
Tuberculosis," yellowing of eyes,  chills,  mild fever,  loss of appetite,  malaise,  phlegm,  blood in sputum"
Tuberculosis," yellowing of eyes,  chills,  mild fever,  loss of appetite,  malaise,  phlegm,  blood in sputum"
Tuberculosis," yellowing of eyes,  chills,  mild fever,  loss of appetite,  malaise,  phlegm,  blood in sputum"
Tuberculosis," weight loss,  cough,  vomiting,  malaise,  sweating,  breathlessness"
Tuberculosis," weight loss,  cough,  vomiting,  malaise,  sweating,  breathlessness"
Tuberculosis," weight loss,  cough,  vomiting,  malaise,  sweating,  breathlessness"
Tuberculosis," weight loss,  cough,  vomiting,  malaise,  sweating,  breathlessness"
Tuberculosis," vomiting,  sweating,  phlegm,  high fever,  mild fever,  loss of appetite,  yellowing of eyes"
Tuberculosis," vomiting,  sweating,  phlegm,  high fever,  mild fever,  loss of appetite,  yellowing of eyes"
Tuberculosis," vomiting,  sweating,  phlegm,  high fever,  mild fever,  loss of appetite,  yellowing of eyes"
Tuberculosis," vomiting,  sweating,  phlegm,  high fever,  mild fever,  loss of appetite,  yellowing of eyes"
Tuberculosis," high fever,  fatigue,  blood in sputum,  breathlessness,  vomiting"
Tuberculosis," high fever,  fatigue,  blood in sputum,  breathlessness,  vomiting"
Tuberculosis," high fever,  fatigue,  blood in sputum,  breathlessness,  vomiting"
Tuberculosis," high fever,  fatigue,  blood in sputum,  breathlessness,  vomiting"
Tuberculosis," chest pain,  mild fever,  malaise,  breathlessness,  loss of appetite,  vomiting,  chills"
Tuberculosis," chest pain,  mild fever,  malaise,  breathlessness,  loss of appetite,  vomiting,  chills"
Tuberculosis," chest pain,  mild fever,  malaise,  breathlessness,  loss of appetite,  vomiting,  chills"
Tuberculosis," chest pain,  mild fever,  malaise,  breathlessness,  loss of appetite,  vomiting,  chills"
Tuberculosis," loss of appetite,  fatigue,  phlegm,  cough,  swelled lymph nodes"
Tuberculosis," loss of appetite,  fatigue,  phlegm,  cough,  swelled lymph nodes"
Tuberculosis," loss of appetite,  fatigue,  phlegm,  cough,  swelled lymph nodes"
Tuberculosis," loss of appetite,  fatigue,  phlegm,  cough,  swelled lymph nodes"
Tuberculosis," blood in sputum,  malaise,  fatigue,  mild fever,  high fever,  yellowing of eyes"
Tuberculosis," blood in sputum,  malaise,  fatigue,  mild fever,  high fever,  yellowing of eyes"
Tuberculosis," blood in sputum,  malaise,  fatigue,  mild fever,  high fever,  yellowing of eyes"
Tuberculosis," blood in sputum,  malaise,  fatigue,  mild fever,  high fever,  yellowing of eyes"
Common Cold," redness of eyes,  muscle pain,  swelled lymph nodes,  runny nose"
Common Cold," redness of eyes,  muscle pain,  swelled lymph nodes,  runny nose"
Common Cold," redness of eyes,  muscle pain,  swelled lymph nodes,  runny nose"
Common Cold," redness of eyes,  muscle pain,  swelled lymph nodes,  runny nose"
Common Cold," redness of eyes,  muscle pain,  swelled lymph nodes,  runny nose"
Common Cold," redness of eyes,  fatigue,  chills,  high fever,  cough,  headache"
Common Cold," redness of eyes,  fatigue,  chills,  high fever,  cough,  headache"
Common Cold," redness of eyes,  fatigue,  chills,  high fever,  cough,  headache"
Common Cold," redness of eyes,  fatigue,  chills,  high fever,  cough,  headache"
Common Cold," redness of eyes,  fatigue,  chills,  high fever,  cough,  headache"
Common Cold," redness of eyes,  fatigue,  loss of smell,  malaise"
Common Cold," redness of eyes,  fatigue,  loss of smell,  malaise"
Common Cold," redness of eyes,  fatigue,  loss of smell,  malaise"
Common Cold," redness of eyes,  fatigue,  loss of smell,  malaise"
Common Cold," redness of eyes,  fatigue,  loss of smell,  malaise"
Common Cold," continuous sneezing,  runny nose,  fatigue,  phlegm,  chest pain,  loss of smell"
Common Cold," continuous sneezing,  runny nose,  fatigue,  phlegm,  chest pain,  loss of smell"
Common Cold," continuous sneezing,  runny nose,  fatigue,  phlegm,  chest pain,  loss of smell"
Common Cold," continuous sneezing,  runny nose,  fatigue,  phlegm,  chest pain,  loss of smell"
Common Cold," continuous sneezing,  runny nose,  fatigue,  phlegm,  chest pain,  loss of smell"
Common Cold," chills,  continuous sneezing,  muscle pain,  high fever,  loss of smell,  swelled lymph nodes,  chest pain"
Common Cold," chills,  continuous sneezing,  muscle pain,  high fever,  loss of smell,  swelled lymph nodes,  chest pain"
Common Cold," chills,  continuous sneezing,  muscle pain,  high fever,  loss of smell,  swelled lymph nodes,  chest pain"
Common Cold," chills,  continuous sneezing,  muscle pain,  high fever,  loss of smell,  swelled lymph nodes,  chest pain"
Common Cold," chills,  continuous sneezing,  muscle pain,  high fever,  loss of smell,  swelled lymph nodes,  chest pain"
Common Cold," swelled lymph nodes,  fatigue,  continuous sneezing,  congestion,  runny nose,  chills"
Common Cold," swelled lymph nodes,  fatigue,  continuous sneezing,  congestion,  runny nose,  chills"
Common Cold," swelled lymph nodes,  fatigue,  continuous sneezing,  congestion,  runny nose,  chills"
Common Cold," swelled lymph nodes,  fatigue,  continuous sneezing,  congestion,  runny nose,  chills"
Common Cold," swelled lymph nodes,  fatigue,  continuous sneezing,  congestion,  runny nose,  chills"
Common Cold," redness of eyes,  chills,  swelled lymph nodes,  chest pain,  headache,  throat irritation"
Common Cold," redness of eyes,  chills,  swelled lymph nodes,  chest pain,  headache,  throat irritation"
Common Cold," redness of eyes,  chills,  swelled lymph nodes,  chest pain,  headache,  throat irritation"
Common Cold," redness of eyes,  chills,  swelled lymph nodes,  chest pain,  headache,  throat irritation"
Common Cold," redness of eyes,  chills,  swelled lymph nodes,  chest pain,  headache,  throat irritation"
Common Cold," chest pain,  congestion,  fatigue,  continuous sneezing,  swelled lymph nodes"
Common Cold," chest pain,  congestion,  fatigue,  continuous sneezing,  swelled lymph nodes"
Common Cold," chest pain,  congestion,  fatigue,  continuous sneezing,  swelled lymph nodes"
Common Cold," chest pain,  congestion,  fatigue,  continuous sneezing,  swelled lymph nodes"
Common Cold," chest pain,  congestion,  fatigue,  continuous sneezing,  swelled lymph nodes"
Common Cold," chills,  sinus pressure,  phlegm,  redness of eyes,  chest pain,  congestion"
Common Cold," chills,  sinus pressure,  phlegm,  redness of eyes,  chest pain,  congestion"
Common Cold," chills,  sinus pressure,  phlegm,  redness of eyes,  chest pain,  congestion"
Common Cold," chills,  sinus pressure,  phlegm,  redness of eyes,  chest pain,  congestion"
Common Cold," chills,  sinus pressure,  phlegm,  redness of eyes,  chest pain,  congestion"
Common Cold," loss of smell,  muscle pain,  cough,  chills"
Common Cold," loss of smell,  muscle pain,  cough,  chills"
Common Cold," loss of smell,  muscle pain,  cough,  chills"
Common Cold," loss of smell,  muscle pain,  cough,  chills"
Common Cold," loss of smell,  muscle pain,  cough,  chills"
Pneumonia," chills,  breathlessness,  cough,  malaise"
Pneumonia," chills,  breathlessness,  cough,  malaise"
Pneumonia," chills,  breathlessness,  cough,  malaise"
Pneumonia," chills,  breathlessness,  cough,  malaise"
Pneumonia," fatigue,  phlegm,  chills,  cough"
Pneumonia," fatigue,  phlegm,  chills,  cough"
Pneumonia," fatigue,  phlegm,  chills,  cough"
Pneumonia," fatigue,  phlegm,  chills,  cough"
Pneumonia," fatigue,  fast heart rate,  breathlessness,  malaise,  rusty sputum,  sweating"
Pneumonia," fatigue,  fast heart rate,  breathlessness,  malaise,  rusty sputum,  sweating"
Pneumonia," fatigue,  fast heart rate,  breathlessness,  malaise,  rusty sputum,  sweating"
Pneumonia," fatigue,  fast heart rate,  breathlessness,  malaise,  rusty sputum,  sweating"
Pneumonia," breathlessness,  cough,  fatigue,  chest pain,  high fever,  rusty sputum"
Pneumonia," breathlessness,  cough,  fatigue,  chest pain,  high fever,  rusty sputum"
Pneumonia," breathlessness,  cough,  fatigue,  chest pain,  high fever,  rusty sputum"
Pneumonia," breathlessness,  cough,  fatigue,  chest pain,  high fever,  rusty sputum"
Pneumonia," fast heart rate,  chills,  phlegm,  high fever,  rusty sputum,  malaise"
Pneumonia," fast heart rate,  chills,  phlegm,  high fever,  rusty sputum,  malaise"
Pneumonia," fast heart rate,  chills,  phlegm,  high fever,  rusty sputum,  malaise"
Pneumonia," fast heart rate,  chills,  phlegm,  high fever,  rusty sputum,  malaise"
Pneumonia," high fever,  fatigue,  rusty sputum,  sweating"
Pneumonia," high fever,  fatigue,  rusty sputum,  sweating"
Pneumonia," high fever,  fatigue,  rusty sputum,  sweating"
Pneumonia," high fever,  fatigue,  rusty sputum,  sweating"
Pneumonia," chest pain,  rusty sputum,  phlegm,  breathlessness"
Pneumonia," chest pain,  rusty sputum,  phlegm,  breathlessness"
Pneumonia," chest pain,  rusty sputum,  phlegm,  breathlessness"
Pneumonia," chest pain,  rusty sputum,  phlegm,  breathlessness"
Pneumonia," fast heart rate,  chills,  rusty sputum,  fatigue,  cough,  high fever"
Pneumonia," fast heart rate,  chills,  rusty sputum,  fatigue,  cough,  high fever"
Pneumonia," fast heart rate,  chills,  rusty sputum,  fatigue,  cough,  high fever"
Pneumonia," fast heart rate,  chills,  rusty sputum,  fatigue,  cough,  high fever"
Pneumonia," cough,  rusty sputum,  chills,  high fever,  chest pain,  breathlessness,  malaise"
Pneumonia," cough,  rusty sputum,  chills,  high fever,  chest pain,  breathlessness,  malaise"
Pneumonia," cough,  rusty sputum,  chills,  high fever,  chest pain,  breathlessness,  malaise"
Pneumonia," cough,  rusty sputum,  chills,  high fever,  chest pain,  breathlessness,  malaise"
Pneumonia," rusty sputum,  fast heart rate,  phlegm,  cough"
Pneumonia," rusty sputum,  fast heart rate,  phlegm,  cough"
Pneumonia," rusty sputum,  fast heart rate,  phlegm,  cough"
Pneumonia," rusty sputum,  fast heart rate,  phlegm,  cough"
Dimorphic hemmorhoids(piles)," bloody stool,  constipation,  pain in anal region,  pain during bowel movements,  irritation in anus"
Dimorphic hemmorhoids(piles)," bloody stool,  constipation,  pain in anal region,  pain during bowel movements,  irritation in anus"
Dimorphic hemmorhoids(piles)," pain in anal region,  pain during bowel movements,  constipation,  irritation in anus,  bloody stool"
Dimorphic hemmorhoids(piles)," pain in anal region,  pain during bowel movements,  constipation,  irritation in anus,  bloody stool"
Dimorphic hemmorhoids(piles)," pain during bowel movements,  pain in anal region,  bloody stool,  constipation,  irritation in anus"
Dimorphic hemmorhoids(piles)," pain during bowel movements,  pain in anal region,  bloody stool,  constipation,  irritation in anus"
Dimorphic hemmorhoids(piles)," pain during bowel movements,  irritation in anus,  pain in anal region,  bloody stool"
Dimorphic hemmorhoids(piles)," bloody stool,  constipation,  pain in anal region,  irritation in anus"
Dimorphic hemmorhoids(piles)," pain during bowel movements,  irritation in anus,  bloody stool,  constipation"
Dimorphic hemmorhoids(piles)," constipation,  pain during bowel movements,  pain in anal region,  irritation in anus"
Dimorphic hemmorhoids(piles)," bloody stool,  pain in anal region,  pain during bowel movements,  constipation"
Dimorphic hemmorhoids(piles)," irritation in anus,  pain in anal region,  constipation,  pain during bowel movements,  bloody stool"
Dimorphic hemmorhoids(piles)," irritation in anus,  pain in anal region,  constipation,  pain during bowel movements,  bloody stool"
Dimorphic hemmorhoids(piles)," bloody stool,  irritation in anus,  pain during bowel movements,  pain in anal region"
Dimorphic hemmorhoids(piles)," bloody stool,  irritation in anus,  pain during bowel movements,  pain in anal region"
Heart attack," breathlessness,  chest pain,  vomiting,  sweating"
Heart attack," sweating,  chest pain,  breathlessness,  vomiting"
Heart attack," sweating,  breathlessness,  chest pain"
Heart attack," sweating,  vomiting,  chest pain"
Heart attack," chest pain,  vomiting,  breathlessness"
Heart attack," sweating,  vomiting,  breathlessness"
Heart attack," vomiting,  sweating,  breathlessness,  chest pain"
Heart attack," breathlessness,  sweating,  chest pain"
Heart attack," chest pain,  vomiting,  sweating"
Heart attack," vomiting,  breathlessness,  chest pain"
Varicose veins," swollen blood vessels,  fatigue,  swollen legs,  bruising,  obesity"
Varicose veins," swollen blood vessels,  fatigue,  swollen legs,  bruising,  obesity"
Varicose veins," cramps,  prominent veins on calf,  bruising,  swollen legs"
Varicose veins," cramps,  prominent veins on calf,  bruising,  swollen legs"
Varicose veins," swollen legs,  swollen blood vessels,  cramps,  prominent veins on calf,  bruising,  obesity"
Varicose veins," swollen legs,  swollen blood vessels,  cramps,  prominent veins on calf,  bruising,  obesity"
Varicose veins," swollen blood vessels,  prominent veins on calf,  fatigue,  swollen legs,  obesity"
Varicose veins," swollen blood vessels,  prominent veins on calf,  fatigue,  swollen legs,  obesity"
Varicose veins," obesity,  swollen legs,  fatigue,  swollen blood vessels,  cramps"
Varicose veins," obesity,  swollen legs,  fatigue,  swollen blood vessels,  cramps"
Varicose veins," fatigue,  cramps,  swollen legs,  swollen blood vessels"
Varicose veins," fatigue,  cramps,  swollen legs,  swollen blood vessels"
